keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Hans-Werner Sinn',de,Deutschland,#11dd44,#11dd44,1,0.396541427198
'Carsten Schneider',de,Deutschland,#11dd44,#11dd44,3,0.395812727176
'Mark Carney',de,Kanada,#ffaabb,#ffaabb,2,0.395734048273
'Justin Bieber',de,Kanada,#ffaabb,#ffaabb,1,0.395567482620
'Zohran Mamdani',de,USA,#18e8e8,#18e8e8,1,0.395454920026
'Sébastien Lecornu',de,Frankreich,#e8e808,#e8e808,3,0.394865996975
'Gisele Bündchen',de,Brasilien,#58e838,#58e838,1,0.393627978492
'Recep Tayyip Erdogan',de,Türkei,#4411ee,#4411ee,3,0.392242329549
'Boris Rhein',de,Deutschland,#11dd44,#11dd44,3,0.392241115740
'John M. Martinis',de,USA,#18e8e8,#18e8e8,1,0.391940467051
'Tom Kaulitz',de,Deutschland,#11dd44,#11dd44,2,0.391853637195
'Nina Warken',de,Deutschland,#11dd44,#11dd44,3,0.391129309034
'Jean Castex',de,Frankreich,#e8e808,#e8e808,1,0.390296487248
'David Cameron',de,UK,#e838e8,#e838e8,2,0.390203230420
'Peter Howitt',de,USA,#18e8e8,#18e8e8,1,0.389588364168
'LeBron James',de,USA,#18e8e8,#18e8e8,3,0.389568769276
'John Clarke',de,USA,#18e8e8,#18e8e8,1,0.389401780306
'Bill Clinton',de,USA,#18e8e8,#18e8e8,2,0.389302206011
'John Martinis',de,USA,#18e8e8,#18e8e8,2,0.387703351870
'Robert Prevost',de,Vatikan,#58b8e8,#58b8e8,2,0.387634114114
'Mark Meadows',de,USA,#18e8e8,#18e8e8,2,0.387525659903
'Oleksandr Usyk',de,Ukraine,#e818e8,#e818e8,2,0.386600798283
'Mahmud Abbas',de,Palestina,#bb6633,#bb6633,3,0.385698723028
'Herbert Diess',de,Deutschland,#11dd44,#11dd44,1,0.384440615963
'Maria Sacharowa',de,Russland,#e81818,#e81818,3,0.384375669614
'Olivia Rodrigo',de,USA,#18e8e8,#18e8e8,2,0.383764278711
'Mick Jagger',de,UK,#e838e8,#e838e8,2,0.383689756395
'Dorothee Bär',de,Deutschland,#11dd44,#11dd44,3,0.383514774259
'Lachlan Murdoch',de,UK,#e838e8,#e838e8,2,0.382567375347
'Whoopi Goldberg',de,USA,#18e8e8,#18e8e8,1,0.382386934890
'Shimon Sakaguchi',de,Japan,#aa9933,#aa9933,1,0.382326887908
'Jennifer Garner',de,USA,#18e8e8,#18e8e8,1,0.381767986696
'Lauren Sánchez',de,USA,#18e8e8,#18e8e8,1,0.381463622459
'Novak Djokovic',de,Serbien,#4488cc,#4488cc,3,0.381103800458
'Greta Gerwig',de,USA,#18e8e8,#18e8e8,2,0.380979675716
'Bernie Sanders',de,USA,#18e8e8,#18e8e8,1,0.380639064741
'Karim Benzema',de,Frankreich,#e8e808,#e8e808,3,0.380302120527
'Queen Camilla',de,UK,#e838e8,#e838e8,3,0.380051399167
'Anne Hathaway',de,USA,#18e8e8,#18e8e8,2,0.379479610821
'Queen Elizabeth II',de,UK,#e838e8,#e838e8,3,0.378465434926
'Merrick Garland',de,USA,#18e8e8,#18e8e8,2,0.377857079757
'Prinz Archie',de,UK,#e838e8,#e838e8,2,0.377756994365
'Robert Habeck',de,Deutschland,#11dd44,#11dd44,3,0.377500221528
'Miley Cyrus',de,USA,#18e8e8,#18e8e8,2,0.376929558646
'Hubert Aiwanger',de,Deutschland,#11dd44,#11dd44,3,0.376033132020
'Kylie Kelce',de,unknown,#111111,#111111,2,0.375362486525
'Andrei Sacharow',de,Russland,#e81818,#e81818,1,0.374766265000
'Al Pacino',de,USA,#18e8e8,#18e8e8,2,0.374386218651
'Stefan Aust',de,Deutschland,#11dd44,#11dd44,1,0.374321916751
'Prinz George',de,UK,#e838e8,#e838e8,2,0.372604343425
'Markus Söder',de,Deutschland,#11dd44,#11dd44,3,0.372085100020
'Marine Le Pen',de,Frankreich,#e8e808,#e8e808,2,0.371934021745
'Thierry Breton',de,Frankreich,#e8e808,#e8e808,1,0.371160838309
'Kanye West',de,USA,#18e8e8,#18e8e8,2,0.370819767256
'Jennifer Morgan',de,Deutschland,#11dd44,#11dd44,1,0.370168669350
'Jared Kushner',de,USA,#18e8e8,#18e8e8,1,0.369376545901
'Mo Lewis',de,USA,#18e8e8,#18e8e8,1,0.368604473007
'Melanie Guttmann',de,Deutschland,#11dd44,#11dd44,1,0.368475000000
'Paul Konerko',de,USA,#18e8e8,#18e8e8,1,0.368176078984
'Mark Cuban',de,USA,#18e8e8,#18e8e8,1,0.368032560177
'Matt Gaetz',de,USA,#18e8e8,#18e8e8,1,0.367751180101
'Sam Altman',de,USA,#18e8e8,#18e8e8,3,0.367325317750
'Gigi Hadid',de,USA,#18e8e8,#18e8e8,1,0.366998126098
'Hunter Biden',de,USA,#18e8e8,#18e8e8,2,0.366872657888
'Affaire Epstein',de,unknown,#111111,#111111,1,0.366865940777
'Mukesh Ambani',de,Indien,#dd3344,#dd3344,1,0.366804351496
'Yves Bournazel',de,Frankreich,#e8e808,#e8e808,1,0.366686301568
'Laura Maria Rypa',de,Deutschland,#11dd44,#11dd44,2,0.366464083648
'Olivia Nuzzi',de,USA,#18e8e8,#18e8e8,1,0.366448972126
'Yorgos Lanthimos',de,Griechenland,#448722,#448722,1,0.365898397103
'Gwede Mantashe',de,Südafrika,#1144ee,#1144ee,1,0.365704405000
'Boris Johnson',de,UK,#e838e8,#e838e8,3,0.365625574420
'Duke Henri',de,Luxemburg,#dd3355,#dd3355,1,0.365421542014
'Ayo Edebiri',de,USA,#18e8e8,#18e8e8,1,0.364804884722
'Tig Notaro',de,USA,#18e8e8,#18e8e8,1,0.364395336276
'Léon XIV',de,Vatikan,#58b8e8,#58b8e8,1,0.364348510187
'Tim Malone',de,USA,#18e8e8,#18e8e8,1,0.363700408881
'Dmitri Medwedew',de,Russland,#e81818,#e81818,3,0.362944774228
'Omar M. Yaghi',de,USA,#18e8e8,#18e8e8,1,0.362600249750
'Gervonta Davis',de,USA,#18e8e8,#18e8e8,1,0.362562268201
'Abdelmadjid Tebboune',de,unknown,#111111,#111111,1,0.362495251209
'Brooklyn Beckham',de,UK,#e838e8,#e838e8,1,0.362291560714
'König Felipe VI',de,Spanien,#1144aa,#1144aa,1,0.362154228557
'Verena Hubertz',de,Deutschland,#11dd44,#11dd44,3,0.361715994918
'Ferdinand Dudenhöffer',de,Deutschland,#11dd44,#11dd44,3,0.361712987269
'Lars Klingbeil',de,Deutschland,#11dd44,#11dd44,3,0.361634579761
'Tom Aspinall',de,UK,#e838e8,#e838e8,1,0.361577459386
'Munther Amira',de,Palestina,#bb6633,#bb6633,1,0.361250000000
'Richard David Precht',de,Deutschland,#11dd44,#11dd44,2,0.361055188103
'Sophie Turner',de,UK,#e838e8,#e838e8,1,0.360437274561
'Keith Kellogg',de,USA,#18e8e8,#18e8e8,3,0.360077520603
'Greg Abbott',de,USA,#18e8e8,#18e8e8,2,0.360053603536
'Jens Spahn',de,Deutschland,#11dd44,#11dd44,3,0.359995199009
'Jake Gyllenhaal',de,USA,#18e8e8,#18e8e8,2,0.359994239857
'Charles III',de,UK,#e838e8,#e838e8,3,0.359328181690
'Charlize Theron',de,Südafrika,#1144ee,#1144ee,2,0.359324345117
'Maja Göpel',de,Deutschland,#11dd44,#11dd44,1,0.358644819504
'Robert Kennedy',de,USA,#18e8e8,#18e8e8,3,0.358182989731
'Sam Asghari',de,Iran,#11bb99,#11bb99,1,0.358138251632
'Guy Ritchie',de,UK,#e838e8,#e838e8,1,0.357772922372
'Selena Gomez',de,USA,#18e8e8,#18e8e8,2,0.357434922621
'Christian Lindner',de,Deutschland,#11dd44,#11dd44,2,0.356948116998
'Willy Brandt',de,Deutschland,#11dd44,#11dd44,3,0.356470107316
'Bill Barr',de,USA,#18e8e8,#18e8e8,1,0.355909868943
'Sarah Ferguson',de,UK,#e838e8,#e838e8,1,0.355623447285
'Gorbatschow',de,Russland,#e81818,#e81818,3,0.355464229287
'Marjorie Taylor Greene',de,USA,#18e8e8,#18e8e8,2,0.355325435243
'Emma Stone',de,USA,#18e8e8,#18e8e8,3,0.354806451891
'Kamala Harris',de,USA,#18e8e8,#18e8e8,3,0.354598354446
'Le Pen',de,Frankreich,#e8e808,#e8e808,2,0.354077598795
'Wolodimir Selenski',de,Ukraine,#e818e8,#e818e8,2,0.353974901044
'Ron Johnson',de,USA,#18e8e8,#18e8e8,1,0.353755646644
'Prinz Harry',de,UK,#e838e8,#e838e8,3,0.353618343620
'Nicola Peltz',de,USA,#18e8e8,#18e8e8,1,0.353364530276
'James Cleverly',de,UK,#e838e8,#e838e8,3,0.353336520045
'Papst Franziskus',de,Vatikan,#58b8e8,#58b8e8,3,0.353330422752
'Gavin Newsom',de,USA,#18e8e8,#18e8e8,2,0.352545104630
'Britney Spears',de,USA,#18e8e8,#18e8e8,2,0.352404207175
'George Floyd',de,USA,#18e8e8,#18e8e8,2,0.352170971658
'David Koch',de,USA,#18e8e8,#18e8e8,2,0.351497980293
'Bettina Stark-Watzinger',de,Deutschland,#11dd44,#11dd44,3,0.350958211966
'Martin Luther King',de,USA,#18e8e8,#18e8e8,2,0.350928527139
'Axel Springer',de,Deutschland,#11dd44,#11dd44,3,0.350754260725
'James Comer',de,USA,#18e8e8,#18e8e8,1,0.350148716784
'Lauren Sanchez',de,USA,#18e8e8,#18e8e8,1,0.350123191912
'Roger Federer',de,Schweiz,#88cc44,#88cc44,2,0.349568761947
'Jennifer Lopez',de,USA,#18e8e8,#18e8e8,2,0.349472214163
'Patrick Schnieder',de,Deutschland,#11dd44,#11dd44,3,0.349300914052
'Jane Fonda',de,USA,#18e8e8,#18e8e8,2,0.348890543618
'Michelle Obama',de,USA,#18e8e8,#18e8e8,3,0.348771846917
'Chris Wright',de,USA,#18e8e8,#18e8e8,3,0.348769258732
'Jamie Dimon',de,USA,#18e8e8,#18e8e8,2,0.348506567653
'Jason Kelce',de,USA,#18e8e8,#18e8e8,1,0.348445920974
'Bastian Schweinsteiger',de,Deutschland,#11dd44,#11dd44,2,0.348372654247
'David Beckham',de,UK,#e838e8,#e838e8,2,0.348202496034
'Sergio Mattarella',de,Italien,#7722cc,#7722cc,1,0.348064632851
'Lana Del Rey',de,USA,#18e8e8,#18e8e8,1,0.347385510586
'Emmanuel Macron',de,Frankreich,#e8e808,#e8e808,3,0.347198243577
'Billy Graham',de,USA,#18e8e8,#18e8e8,1,0.347065249546
'Christian Dürr',de,Deutschland,#11dd44,#11dd44,2,0.347034579365
'Hendrik Wüst',de,Deutschland,#11dd44,#11dd44,3,0.346774976595
'Peter Thiel',de,USA,#18e8e8,#18e8e8,2,0.346673972859
'Alexander Dobrindt',de,Deutschland,#11dd44,#11dd44,3,0.346480414006
'Pippa Middleton',de,UK,#e838e8,#e838e8,2,0.346453328909
'Travis Kelce',de,USA,#18e8e8,#18e8e8,2,0.346450903996
'Mohammed Bin Salman',de,SaudiArabien,#2266bb,#2266bb,2,0.346424112751
'Kemal Kılıçdaroğlu',de,Türkei,#4411ee,#4411ee,2,0.346400852550
'Omar Sy',de,Frankreich,#e8e808,#e8e808,1,0.346119661797
'Angelina Jolie',de,USA,#18e8e8,#18e8e8,3,0.345852097145
'Peregrine Pearson',de,UK,#e838e8,#e838e8,2,0.345535958885
'Chuck Schumer',de,USA,#18e8e8,#18e8e8,3,0.345384530915
'Pete Davidson',de,USA,#18e8e8,#18e8e8,1,0.345355873396
'George Bush',de,USA,#18e8e8,#18e8e8,2,0.345030443520
'Chris Luxon',de,Neuseeland,#1818e8,#1818e8,1,0.344952975317
'Reed Richards',de,USA,#18e8e8,#18e8e8,2,0.344612986480
'Ulrich Reitz',de,Deutschland,#11dd44,#11dd44,1,0.344276472631
'Eva Green',de,Frankreich,#e8e808,#e8e808,1,0.344241677240
'Tom Hanks',de,USA,#18e8e8,#18e8e8,3,0.344173681914
'Matteo Salvini',de,Italien,#7722cc,#7722cc,2,0.343957319957
'Helge Schneider',de,Deutschland,#11dd44,#11dd44,1,0.343925949611
'Bill Belichick',de,USA,#18e8e8,#18e8e8,1,0.343048775408
'Juliette Binoche',de,Frankreich,#e8e808,#e8e808,1,0.343019905498
'Meryl Streep',de,USA,#18e8e8,#18e8e8,1,0.342816442944
'Rand Paul',de,USA,#18e8e8,#18e8e8,2,0.342339802847
'Tim Cook',de,USA,#18e8e8,#18e8e8,3,0.342297086745
'David Weiss',de,Schweiz,#88cc44,#88cc44,2,0.342117073411
'Helmut Kohl',de,Deutschland,#11dd44,#11dd44,3,0.341918987154
'Pietro Lombardi',de,Deutschland,#11dd44,#11dd44,2,0.341833027636
'Bezalel Smotrich',de,Israel,#8822dd,#8822dd,1,0.341700962002
'Joachim Gauck',de,Deutschland,#11dd44,#11dd44,1,0.341559116541
'Oliver Blume',de,Deutschland,#11dd44,#11dd44,3,0.341262165785
'nan nan',de,unknown,#dddddd,#dddddd,1,0.341027803203
'Julia Roberts',de,USA,#18e8e8,#18e8e8,2,0.340994510489
'Abraham Lincoln',de,USA,#18e8e8,#18e8e8,2,0.340951595224
'Dana White',de,USA,#18e8e8,#18e8e8,1,0.340566310291
'Steve Jobs',de,USA,#18e8e8,#18e8e8,3,0.340345782115
'Demi Moore',de,USA,#18e8e8,#18e8e8,1,0.340168987843
'Paris Hilton',de,USA,#18e8e8,#18e8e8,2,0.340047785382
'Tucker Carlson',de,USA,#18e8e8,#18e8e8,1,0.339981969671
'Billie Eilish',de,USA,#18e8e8,#18e8e8,2,0.339975267476
'Jessica Biel',de,USA,#18e8e8,#18e8e8,1,0.339871494632
'Bill Gates',de,USA,#18e8e8,#18e8e8,3,0.338945130428
'Patricia Blanco',de,Deutschland,#11dd44,#11dd44,2,0.338900915525
'Prinzessin Kate',de,UK,#e838e8,#e838e8,2,0.338759987734
'Charles Barkley',de,USA,#18e8e8,#18e8e8,1,0.338271583625
'Papst Benedikt XVI',de,Vatikan,#58b8e8,#58b8e8,3,0.338187586876
'Alexander Smirnov',de,Israel,#8822dd,#8822dd,1,0.338133265108
'Ron DeSantis',de,USA,#18e8e8,#18e8e8,3,0.337850116309
'Steven Donziger',de,USA,#18e8e8,#18e8e8,1,0.337768750000
'Minka Indigena',de,unknown,#111111,#111111,1,0.337768750000
'Haitham A-Ghais',de,Kuwait,#3fd97a,#3fd97a,1,0.337768750000
'Claudia Kempfert',de,Deutschland,#11dd44,#11dd44,1,0.337768750000
'Claudia Kemfert',de,Deutschland,#11dd44,#11dd44,1,0.337768750000
'Bruce Springsteen',de,USA,#18e8e8,#18e8e8,2,0.337741768703
'Patrick Mahomes',de,USA,#18e8e8,#18e8e8,2,0.337701651743
'Cara Delevingne',de,UK,#e838e8,#e838e8,1,0.337576117113
'Berkshire Hathaway',de,USA,#18e8e8,#18e8e8,1,0.337548872749
'Rudolf Steiner',de,Österreich,#6622bb,#6622bb,1,0.337337795599
'Kevin Hart',de,USA,#18e8e8,#18e8e8,3,0.337287285817
'Sergej Surowikin',de,Russland,#e81818,#e81818,1,0.337261748741
'Joe Biden',de,USA,#18e8e8,#18e8e8,3,0.337033352281
'Lula da Silva',de,Brasilien,#58e838,#58e848,3,0.336377568567
'Cem Özdemir',de,Deutschland,#11dd44,#11dd44,3,0.336292977809
'Alberto Núñez Feijóo',de,Spanien,#1144aa,#1144aa,2,0.336144572063
'Derek Chauvin',de,USA,#18e8e8,#18e8e8,1,0.336063797151
'Königin Camilla',de,UK,#e838e8,#e838e8,2,0.335849257621
'Stockton Rush',de,USA,#18e8e8,#18e8e8,3,0.335685844193
'Jerry Seinfeld',de,USA,#18e8e8,#18e8e8,1,0.335118759698
'Adolf Hitler',de,Deutschland,#11dd44,#11dd44,3,0.335068911946
'Mira Murati',de,Albanien,#ee742d,#ee742d,1,0.334870621721
'Leonardo DiCaprio',de,USA,#18e8e8,#18e8e8,3,0.334105394247
'Oliver Anthony',de,USA,#18e8e8,#18e8e8,1,0.333988588800
'Rupert Murdoch',de,Australien,#99aa33,#99aa33,1,0.333821629004
'Robert Francis Prevost',de,USA,#18e8e8,#18e8e8,1,0.333712190313
'Jeff Ross',de,USA,#18e8e8,#18e8e8,2,0.333705848340
'Yoon Suk Yeol',de,SüdKorea,#22bb66,#22bb66,2,0.333253232075
'Prince Charles',de,UK,#e838e8,#e838e8,2,0.333174011643
'Lily Gladstone',de,USA,#18e8e8,#18e8e8,1,0.333121756003
'Bridget Moynahan',de,USA,#18e8e8,#18e8e8,1,0.332967033182
'Cristiano Ronaldo',de,Portugal,#66bb22,#66bb22,3,0.332262484128
'Eric Trump',de,USA,#18e8e8,#18e8e8,2,0.332165636979
'Kate Hudson',de,USA,#18e8e8,#18e8e8,1,0.332116349309
'Marie Trintignant',de,Frankreich,#e8e808,#e8e808,1,0.331861922850
'Joe Jonas',de,USA,#18e8e8,#18e8e8,1,0.331805695327
'Chris Hipkins',de,Neuseeland,#1818e8,#1818e8,1,0.331629582494
'Emily Blunt',de,UK,#e838e8,#e838e8,1,0.331553686645
'Pedro Sánchez',de,Spanien,#1144aa,#1144aa,2,0.331528466584
'George Washington',de,USA,#18e8e8,#18e8e8,2,0.331284631744
'Robert Sesselmann',de,Deutschland,#11dd44,#11dd44,1,0.330955228836
'Kai Wegner',de,Deutschland,#11dd44,#11dd44,3,0.330766996117
'Rainer Maria Woelki',de,Deutschland,#11dd44,#11dd44,2,0.330713246305
'Elizabeth Warren',de,USA,#18e8e8,#18e8e8,1,0.330449612945
'Albert Einstein',de,Deutschland,#11dd44,#11dd44,3,0.330391176214
'Anne Will',de,Deutschland,#11dd44,#11dd44,3,0.330123315476
'Aaron Rodgers',de,USA,#18e8e8,#18e8e8,1,0.329932646100
'Ben Affleck',de,USA,#18e8e8,#18e8e8,1,0.329313382900
'Angela Merkel',de,Deutschland,#11dd44,#11dd44,3,0.329302218092
'Christiane Schenderlein',de,Deutschland,#11dd44,#11dd44,2,0.329039506920
'António Guterres',de,Portugal,#66bb22,#66bb22,3,0.328832449824
'Maybrit Illner',de,Deutschland,#11dd44,#11dd44,3,0.328793380836
'Ivanka Trump',de,USA,#18e8e8,#18e8e8,2,0.328727139260
'Roberto Saviano',de,Italien,#7722cc,#7722cc,1,0.328523881987
'Gérard Larcher',de,Frankreich,#e8e808,#e8e808,1,0.328336642503
'America Ferrera',de,USA,#18e8e8,#18e8e8,1,0.328313279082
'Andrew Tate',de,USA,#18e8e8,#18e8e8,1,0.328145935082
'Laura Ingraham',de,USA,#18e8e8,#18e8e8,2,0.328084577896
'Rudy Giuliani',de,USA,#18e8e8,#18e8e8,2,0.327901257941
'Edouard Philippe',de,Frankreich,#e8e808,#e8e808,2,0.327724688502
'Rachida Dati',de,Frankreich,#e8e808,#e8e808,1,0.327665175029
'Irina Scherbakowa',de,Russland,#e81818,#e81818,1,0.327605875664
'Jonathan Roumie',de,USA,#18e8e8,#18e8e8,1,0.327500081275
'Howard Stern',de,USA,#18e8e8,#18e8e8,1,0.327306349165
'Gérald Darmanin',de,Frankreich,#e8e808,#e8e808,1,0.326918290029
'Reinhard Marx',de,Deutschland,#11dd44,#11dd44,1,0.326725380392
'Wolfgang Kubicki',de,Deutschland,#11dd44,#11dd44,2,0.326688352425
'Indiana Jones',de,USA,#18e8e8,#18e8e8,2,0.326472000509
'Tyson Fury',de,UK,#e838e8,#e838e8,1,0.326389926338
'Leni Klum',de,USA,#18e8e8,#18e8e8,1,0.326176688483
'Camille Cottin',de,Frankreich,#e8e808,#e8e808,1,0.326142521580
'Al Nassr',de,unknown,#111111,#111111,2,0.326109950470
'François Bayrou',de,Frankreich,#e8e808,#e8e808,2,0.326105473874
'Jesse Watters',de,USA,#18e8e8,#18e8e8,1,0.326058094678
'Lewis Kaplan',de,USA,#18e8e8,#18e8e8,2,0.325971685129
'Bruno Le Maire',de,Frankreich,#e8e808,#e8e808,2,0.325904709939
'Brad Pitt',de,USA,#18e8e8,#18e8e8,3,0.325889875185
'Alex Jones',de,USA,#18e8e8,#18e8e8,1,0.325229884736
'Rosalynn Carter',de,USA,#18e8e8,#18e8e8,1,0.325155765774
'Nadja Abd el Farrag',de,Deutschland,#11dd44,#11dd44,2,0.325134551821
'Tim Scott',de,USA,#18e8e8,#18e8e8,2,0.325087414098
'Lady Di',de,UK,#e838e8,#e838e8,2,0.324734014132
'Nawaz Sharif',de,Pakistan,#bb3355,#bb3355,1,0.324616478638
'Jan Böhmermann',de,Deutschland,#11dd44,#11dd44,3,0.324578116942
'Ryan Gosling',de,Kanada,#ffaabb,#ffaabb,1,0.324490434527
'Mike Johnson',de,USA,#18e8e8,#18e8e8,2,0.324309562131
'Bettina Jarasch',de,Deutschland,#11dd44,#11dd44,2,0.324138388908
'Dieter Bohlen',de,Deutschland,#11dd44,#11dd44,3,0.323834309870
'Stanislaw Petrow',de,unknown,#111111,#111111,1,0.323553359541
'Barry Keoghan',de,unknown,#111111,#111111,1,0.323420364292
'Adam Driver',de,unknown,#111111,#111111,2,0.323392151393
'Eric Adams',de,USA,#18e8e8,#18e8e8,2,0.323335007843
'Bob Menendez',de,unknown,#111111,#111111,1,0.323059398268
'Steven Spielberg',de,USA,#18e8e8,#18e8e8,3,0.321155089779
'Peter Tschentscher',de,Deutschland,#11dd44,#11dd44,2,0.321059408678
'George Miller',de,unknown,#111111,#111111,1,0.320924279871
'Sabrina Carpenter',de,unknown,#111111,#111111,2,0.320792930256
'Steve Wozniak',de,USA,#18e8e8,#18e8e8,1,0.320653174005
'Margot Robbie',de,unknown,#111111,#111111,2,0.320492706206
'Chez Krömer',de,Deutschland,#11dd44,#11dd44,1,0.319800306197
'Margaret Qualley',de,unknown,#111111,#111111,1,0.319749668263
'Malu Dreyer',de,Deutschland,#11dd44,#11dd44,2,0.319628393216
'Gayle King',de,unknown,#111111,#111111,1,0.319274050661
'Prinz Louis',de,UK,#e838e8,#e838e8,2,0.319018665989
'Radical Optimism',de,unknown,#111111,#111111,1,0.318959620849
'Rosa Parks',de,unknown,#111111,#111111,1,0.318836466135
'Lea Bonasera',de,Deutschland,#11dd44,#11dd44,1,0.318423812500
'Chad Frischmann',de,USA,#18e8e8,#18e8e8,1,0.318423812500
'George Clooney',de,USA,#18e8e8,#18e8e8,2,0.318347476924
'Brittany Mahomes',de,unknown,#111111,#111111,1,0.318209565574
'Michelle O\'Neill',de,Irland,#33bbff,#33bbff,1,0.317954973082
'Gabriel Attal',de,Frankreich,#e8e808,#e8e808,1,0.317881238693
'Laurent Berger',de,Frankreich,#e8e808,#e8e808,1,0.317825978813
'Alyssa Farah Griffin',de,unknown,#111111,#111111,1,0.317709060651
'Justin Timberlake',de,unknown,#111111,#111111,1,0.317706187140
'Carter Reum',de,unknown,#111111,#111111,1,0.317665349784
'George Simion',de,unknown,#111111,#111111,2,0.317313910931
'Alvin Bragg',de,USA,#18e8e8,#18e8e8,1,0.317279410126
'Barack Obama',de,USA,#18e8e8,#18e8e8,3,0.317172477330
'Robin Roberts',de,unknown,#111111,#111111,1,0.317068266930
'Leandro De Niro-Rodriguez',de,unknown,#111111,#111111,1,0.317020448280
'Francesca Albanese',de,Italien,#7722cc,#7722cc,2,0.316965484627
'Bronny James',de,unknown,#111111,#111111,1,0.316940756144
'Katja Krasavice',de,Deutschland,#11dd44,#11dd44,1,0.316837847842
'Jill Biden',de,USA,#18e8e8,#18e8e8,2,0.316781614009
'Ralf Dieter',de,Deutschland,#11dd44,#11dd44,1,0.316459167619
"'Dwayne ""The Rock"" Johnson'",de,unknown,#111111,#111111,2,0.316236652196
'Christian Günther',de,unknown,#111111,#111111,2,0.316119172787
'Benny Safdie',de,unknown,#111111,#111111,2,0.316047256284
'Jake Tapper',de,unknown,#111111,#111111,1,0.315803967854
'Ines de Ramon',de,unknown,#111111,#111111,1,0.315461152501
'Pablo Picasso',de,Spanien,#1144aa,#1144aa,1,0.315119614981
'Tim Müller',de,Deutschland,#11dd44,#11dd44,3,0.315049243587
'Jacinda Ardern',de,Neuseeland,#1818e8,#1818e8,2,0.314754967443
'Ramsan Kadyrow',de,Russland,#e81818,#e81818,2,0.314291324230
'Stefan Kolev',de,Deutschland,#11dd44,#11dd44,1,0.314267330783
'Nancy Mace',de,unknown,#111111,#111111,1,0.314251744840
'Mario Czaja',de,Deutschland,#11dd44,#11dd44,1,0.314138807309
'Missy Elliott',de,unknown,#111111,#111111,2,0.314098767175
'Robert Menendez',de,unknown,#111111,#111111,1,0.313943736399
'Markus Wipperfürth',de,Deutschland,#11dd44,#11dd44,1,0.313704319299
'Maybritt Illner',de,Deutschland,#11dd44,#11dd44,2,0.313541438702
'Vinod Khosla',de,unknown,#111111,#111111,1,0.313353765000
'Mark Kerr',de,unknown,#111111,#111111,1,0.313270469350
'Franca Lehfeldt',de,Deutschland,#11dd44,#11dd44,1,0.313269344654
'Yaël Braun-Pivet',de,unknown,#111111,#111111,1,0.313250862887
'Tulsin Gabbard',de,USA,#18e8e8,#18e8e8,1,0.313203750000
'Merrill McCollum',de,USA,#18e8e8,#18e8e8,1,0.313203750000
'Kara Hurst',de,unknown,#111111,#111111,1,0.313203750000
'Henning Jeschke',de,unknown,#111111,#111111,1,0.313203750000
'Brian Kozlowski',de,USA,#18e8e8,#18e8e8,1,0.313203750000
'Teresa Giudice',de,unknown,#111111,#111111,1,0.313173887001
'Jason Whitlock',de,unknown,#111111,#111111,1,0.313163644099
'Eliot Wolf',de,unknown,#111111,#111111,1,0.313067202760
'Jonathan Turley',de,unknown,#111111,#111111,1,0.312978192770
'Henry Kissinger',de,USA,#18e8e8,#18e8e8,1,0.312876959627
'Leah McSweeney',de,unknown,#111111,#111111,1,0.312875258235
'MacKenzie Scott',de,USA,#18e8e8,#18e8e8,2,0.312717154940
'Cameron Brink',de,unknown,#111111,#111111,1,0.312547227279
'Colin Farrell',de,unknown,#111111,#111111,3,0.312478176675
'Andy Cohen',de,unknown,#111111,#111111,1,0.312450711422
'Valérie Hayer',de,unknown,#111111,#111111,1,0.312368838932
'Ainsley Earhardt',de,unknown,#111111,#111111,1,0.312178294602
'Aubrey Plaza',de,unknown,#111111,#111111,1,0.312123935117
'Peyton Manning',de,unknown,#111111,#111111,1,0.311726979207
'Kristen Wiig',de,unknown,#111111,#111111,1,0.311676237917
'Marguerite Cazeneuve',de,Frankreich,#e8e808,#e8e808,1,0.311498535251
'Olivier Marleix',de,Frankreich,#e8e808,#e8e808,2,0.311384365994
'Ana Navarro',de,unknown,#111111,#111111,1,0.311314593005
'Georg Gänswein',de,Deutschland,#11dd44,#11dd44,1,0.311276120085
'Mathias Döpfner',de,Deutschland,#11dd44,#11dd44,1,0.311181455532
'Sarah Stier',de,unknown,#111111,#111111,1,0.310866891675
'Robert Downey Jr',de,unknown,#111111,#111111,2,0.310696285144
'Steffen Kotre',de,unknown,#111111,#111111,1,0.310593718750
'Andrew Schulz',de,unknown,#111111,#111111,1,0.310518741270
'Robert Badinter',de,unknown,#111111,#111111,1,0.310318554364
'Linda Yaccarino',de,USA,#18e8e8,#18e8e8,2,0.310126589671
'Konrad Adenauer',de,Deutschland,#11dd44,#11dd44,3,0.310121742503
'Jamie Spears',de,unknown,#111111,#111111,1,0.310097464071
'Chelsea Handler',de,USA,#18e8e8,#18e8e8,1,0.310094127837
'Devon Archer',de,unknown,#111111,#111111,1,0.310041952249
'Katy Perry',de,USA,#18e8e8,#18e8e8,1,0.310010072034
'Mindy Kaling',de,unknown,#111111,#111111,1,0.309883617097
'Buzz Aldrin',de,USA,#18e8e8,#18e8e8,1,0.309879240715
'Ron Howard',de,unknown,#111111,#111111,2,0.309724600684
'Sunny Hostin',de,unknown,#111111,#111111,1,0.309200073287
'François Braun',de,unknown,#111111,#111111,1,0.309100527042
'Chris Kirkpatrick',de,unknown,#111111,#111111,1,0.309065915138
