keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Matt Damon',-0.6775047212032148,1.0,-0.4428051173377333,1.0,1.0
'Merab Dvalishvili',-1.5337460793839637,1.0,0.6382909885370001,1.0,1.0
'Merrick Garland',0.3587713364548494,1.0,-0.5433145275425134,1.0,1.0
'Michael Mann',-0.45195944340452704,1.0,-0.7459693640118944,1.0,1.0
'Miguel Díaz-Canel',0.18316538155206344,1.0,-0.3734860512547306,1.0,1.0
'Mojib Latif',-0.09973939889801685,1.0,2.1988665217461265,1.0,1.0
'Mojtaba Khamenei',-0.1736805806016091,0.46187051727663847,-0.02124508181670214,1.408181554841199,10.0
'Narendra Modi',-0.11030986148797974,0.7379811136168173,-0.27151473448949753,0.06832442729330648,4.0
'Nina Warken',0.11916812523427447,1.0,-0.39449757405134134,1.0,1.0
'Oliver Blume',-0.8352562698142079,0.1567675098466191,-0.5433145275425134,0.0,2.0
'Olivia Rodrigo',-0.26108305032413653,0.2536542949527618,-0.28404123417068255,0.24598692451409562,3.0
'Papst Leo',0.253223053374088,1.0,-0.3734860512547306,1.0,1.0
'Paul McCartney',-0.14343788753079528,1.0,-0.18569533817705186,1.0,1.0
'Paul Ronzheimer',-0.13664201502478945,0.6866637963721868,1.2233483953163762,1.233713400421295,9.0
'Peter Magyar',0.8674946434310932,1.351627634303892,-0.19575732739924426,0.26004457764833144,4.0
'Peter Mandelson',-0.48598933186106047,0.5174924130438103,0.8459827402974552,1.5519072986892475,12.0
'Peter Phillips',-0.217303838467992,0.805310231181132,0.14302707474700094,0.8048132773498162,2.0
'Phillipp-Anders Rau',-0.11672693028202041,1.0,-0.4428051173377333,1.0,1.0
'Prince Philip',0.4,1.0,0.0,1.0,1.0
'Prinz Andrew',1.3841031801400183,1.0,-0.47419255592800746,1.0,1.0
'Prinz George',-0.41319774734805664,0.28356467564496407,0.23081407762707176,1.0001905093691492,3.0
'Prinz Harry',0.5214604248260052,1.1325522622079842,-0.35256976787515043,0.05451036062836552,8.0
'Prinz William',0.19519853458628308,0.8982177584785305,-0.3580290555329399,0.07341822315575074,3.0
'Prinzessin Kate',0.8048095030276956,1.2092635588543525,0.1453931874674741,1.3328668012808593,5.0
'Putin',-0.5829061614014072,1.2382139541591815,-0.19304540198702747,0.8083193318455667,16.0
'Péter Magyar',0.1892538038840301,0.7079471968939565,0.6826093956704095,1.1740609228187555,6.0
'Recep Tayyip Erdoğan',0.5951139794478604,0.8108027142772394,0.4269391159150109,0.6308700965507996,4.0
'Richard Feynman',-0.9981129732132857,1.4115449034987624,-0.15075567228888181,0.21320071635561044,2.0
'Ro Khanna',0.5736580213012615,0.7307134562870127,0.443464089522966,1.5265664516046067,4.0
'Robert De Niro',-0.45195944340452704,1.0,-0.7459693640118944,1.0,1.0
'Robert Downey Jr',-0.45195944340452704,1.0,-0.7459693640118944,1.0,1.0
'Robert Oppenheimer',0.3862646450420607,1.1831783788123595,-0.24828700261986952,0.7705084647272186,10.0
'Robert Sesselmann',-0.7501161384634434,0.3524036827449419,0.22765257662819205,0.9244918098328266,2.0
'Sahra Wagenknecht',1.101205842907446,2.7457197006108016,-0.3280029168466719,0.1623548289247343,2.0
'Sam H',0.37910585709539,0.8968863398022746,0.039523471503392804,0.7078367810655649,5.0
'Sandra Maischberger',-0.3256423359224012,1.0,-0.3118994114714023,1.0,1.0
'Sarah Ferguson',0.7659145019302689,1.0,-0.5014352944341887,1.0,1.0
'Savannah Guthrie',0.5093744384346537,0.2834091753982718,0.8184736728494558,1.1252405028773356,3.0
'Selenski',-0.45527688207582073,1.0,-0.3771060154812162,1.0,1.0
'Selenskyj',-0.07693227615302528,0.9089798488017931,0.06165356624614056,1.1759339666290773,85.0
'Sergey Brin',0.25713551958743597,0.49833339848434016,0.16010126965420954,1.1789404808892245,3.0
'Sohn Nick',-0.23877133561473013,1.2427865637757374,-0.45012720359201563,0.03403354765684669,2.0
'Steve Jobs',1.4662903518412274,1.0,-0.5,1.0,1.0
'Susan Collins',-0.022232862305264098,1.3205915654986005,-0.02516243734679229,1.2220987121409157,11.0
'Sydney Sweeney',-0.45527688207582073,1.0,-0.3771060154812162,1.0,1.0
'Taylor Swift',0.05776687701621008,0.8835473026287801,0.9261271439795771,1.1478423062852634,5.0
'Thomas Müller',0.008463633884324903,0.15302219645068832,-0.15594970573570116,0.22054618889952185,2.0
'Tim Walz',-0.7145911826481716,0.786790380582265,-0.449226202394246,0.06685008536538854,3.0
'Tino Chrupalla',0.9544743072157765,1.0,-0.3118994114714023,1.0,1.0
'Todd Blanche',0.4329785679243792,1.2076136197636984,-0.36598088505873005,0.13086377273578387,5.0
'Tom Brady',-0.7498631458382077,1.0,0.6382909885370001,1.0,1.0
'Tom Kaulitz',2.747276170238163,1.0,-0.3734860512547306,1.0,1.0
'Travis Kelce',0.06626791707054693,0.30115650895236146,1.898599448028872,2.0784910569382533,3.0
'Ulf Poschardt',-0.33344598368307404,1.1573526297544579,0.3536951928420108,0.941436180782982,7.0
'Ulrich Siegmund',1.0258437011626633,0.9806740393655974,-0.16209004338048782,0.7232943932687144,10.0
'Vanessa Mai',-0.8096591008417791,1.7630815297520301,-0.31564102463054317,1.0,2.0
'Victoria Beckham',0.4741956550119186,1.0517911193065308,1.0416948114330202,1.8277743405064526,6.0
'Viktor Orban',0.9226871341315928,0.4924752833412866,-0.42947777608652826,0.1609894778055493,2.0
'Viktor Orbán',0.890951227265164,0.5996233646876146,-0.43024151136394034,0.10248726484413363,3.0
'Virginia Giuffre',-1.2292540840199382,1.0,-0.3118994114714023,1.0,1.0
'Wladimir Putin',0.014911176146017566,0.289709122755085,0.7069878313754562,1.1603997309650305,3.0
'Wolfgang Grupp',0.11916812523427447,1.0,-0.39449757405134134,1.0,1.0
'Wolfram Weimer',1.0628943996641718,1.0,1.1704516895596238,1.0,1.0
'Wolodimir Selenski',-1.0094512786863516,1.0,0.6287713725320789,1.0,1.0
'Wolodymyr Selenskyj',0.1095702832357955,1.0448787277817053,-0.3911695628371107,0.13587159597539034,5.0
'Xi Jinping',0.8682387176644929,1.0,-0.4894125613102094,1.0,1.0
'Zohran Mamdani',-0.05929668483829533,1.0,1.3320229125768344,1.0,1.0
'nan Si',0.11916812523427447,1.0,-0.39449757405134134,1.0,1.0
'nan nan',0.1505455903800763,1.0685736496342366,0.15579086326602665,1.2200520966028576,32.0
